Alloy,Composition,Average_r,e/a,delta_r,delta_X,Smix,Hmix,Average_T,sws,B,C11,C12,C,C44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR,B/G,AZ,CP
TiVCrZr,25252525,1.425,4.75,0.05263157894736844,0.0837888824711944,11.52565131835077,-6.775,2108.0,2.9448234584599997,123.53211135299999,188.3,91.15,48.58,46.49,123.53,47.33,125.9,0.33012299004594187,123.53,47.3,125.85,0.3302184785469861,123.53,47.32,125.88,0.330170734296464,0.0003170241995139083,2.610524091293322,0.9569781803211199,44.660000000000004
TiVCrNb,25252525,1.4,5.0,0.02525381361380522,0.027602238490355875,11.52565131835077,-4.35,2263.5,2.8930337011500002,156.378291434,250.46,109.34,70.56,43.4,156.38,54.27,145.92,0.3444718289677308,156.38,51.3,138.73,0.35214433940511874,156.38,52.78,142.33,0.3483080841864248,0.028132992327365786,2.962864721485411,0.615079365079365,65.94
TiVCrMo,25252525,1.4,5.25,0.02525381361380522,0.13860734130433605,11.52565131835077,-3.6,2300.0,2.84893426807,184.59246331900002,313.05,120.36,96.34,52.99,184.59,70.33,187.22,0.3309645890081718,184.59,64.62,173.61,0.3432542570222675,184.59,67.48,180.44,0.3371094230152196,0.04231196739533156,2.7354771784232366,0.5500311397135146,67.37
TiVCrHf,25252525,1.425,4.75,0.05263157894736844,0.09220934917495964,11.52565131835077,-5.625,2202.5,2.94561561699,145.72176721,209.5,113.83,47.83,56.92,145.72,53.29,142.49,0.3370170251809563,145.72,52.9,141.57,0.33808105129984084,145.72,53.09,142.03,0.33754903824039856,0.0036726622092475803,2.7447730269353925,1.190048086974702,56.91
TiVCrTa,25252525,1.4,5.0,0.02525381361380522,0.04104385799926244,11.52565131835077,-4.375,2398.5,2.9057278945599996,162.812446985,253.55,117.44,68.05,59.26,162.81,62.78,166.89,0.3291576713049473,162.81,62.49,166.21,0.3298573295578306,162.81,62.63,166.55,0.32950750043138893,0.0023149996008621308,2.599552929905796,0.8708302718589273,58.18
TiVCrW,25252525,1.375,5.25,0.01818181818181808,0.18233546464843076,11.52565131835077,-4.175,2499.75,2.8661409330699996,193.497752307,318.24,131.13,93.56,66.52,193.5,77.34,204.74,0.32365012769062385,193.5,75.22,199.77,0.32792960409931066,193.5,76.28,202.26,0.3257898658949673,0.013896171997902494,2.5367068694284214,0.7109876015391192,64.61
TiVZrNb,25252525,1.4375,4.5,0.05144417202695318,0.07682212795973754,11.52565131835077,-0.17499999999999993,2250.5,3.06121157833,116.353999865,165.02,92.02,36.5,50.29,116.35,44.77,119.05,0.32947793408156006,116.35,43.69,116.48,0.3331338799205581,116.35,44.23,117.76,0.3313059070010591,0.012208907981008425,2.6305674881302283,1.3778082191780823,41.73
TiVZrMo,25252525,1.4375,4.75,0.05144417202695318,0.18367481901949587,11.52565131835077,-3.85,2287.0,3.00947417283,133.716514934,206.09,97.53,54.28,49.77,133.72,51.57,137.1,0.32913657146643693,133.72,51.48,136.88,0.3294008483563097,133.72,51.53,136.99,0.3292687099113733,0.0008733624454148802,2.5949932078400932,0.9169123065585851,47.76
TiVZrHf,25252525,1.4625,4.25,0.0610378498166055,0.09593398443616248,11.52565131835077,-1.95,2189.5,3.11219160338,114.313668714,143.43,99.75,21.84,65.35,114.31,47.94,126.19,0.3160257886253742,114.31,36.37,98.65,0.3561692591616135,114.31,42.16,112.63,0.3360975238934939,0.13723164511920294,2.711337760910816,2.992216117216117,34.400000000000006
TiVZrTa,25252525,1.4375,4.5,0.05144417202695318,0.07257180352359079,11.52565131835077,-0.625,2385.5,3.0691233881200004,122.613787909,167.78,100.03,33.88,62.4,122.61,50.99,134.35,0.31737978129029176,122.61,46.68,124.27,0.3310776579575885,122.61,48.84,129.34,0.3242287196239401,0.04412818675130544,2.51044226044226,1.841794569067296,37.63
