Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
CrNbWVZr,4.8,0.084988097,0.075954443,-4.704,6.361600876,2.971,163.66,271.89,109.55,81.17,51.5,163.66,63.37,168.38,0.33,163.66,60.32,161.16,0.34,163.66,61.84,164.78,0.33,0.02
MoTiWVZr,5,0.08650733,0.164386875,-5.84,5.191043122,2.997,161.4,259.71,112.25,73.73,60.63,161.4,65.87,173.95,0.32,161.4,65.27,172.55,0.32,161.4,65.57,173.25,0.32,0
CrTaTiWZr,4.6,0.093698541,0.10061659,-6.176,4.739634751,3.015,156.22,244.66,112,66.33,66.33,156.22,66.33,174.32,0.31,156.22,66.33,174.32,0.31,156.22,66.33,174.32,0.31,0
MoTaTiVZr,4.8,0.084988097,0.076054891,-4.912,6.386421852,3.032,143.35,218.78,105.63,56.58,58.09,143.35,57.49,152.13,0.32,143.35,57.48,152.11,0.32,143.35,57.48,152.12,0.32,0
CrTaWVZr,5,0.086003653,0.204056646,-6.672,4.864201791,2.978,168.83,274.4,116.05,79.18,61.39,168.83,68.5,181.02,0.32,168.83,67.45,178.57,0.32,168.83,67.97,179.8,0.32,0.01
MoNbTiWV,5.2,0.053632841,0.13069562,-4.208,7.599874444,2.959,189.08,313.5,126.87,93.31,64.08,189.08,75.77,200.53,0.32,189.08,73.26,194.64,0.33,189.08,74.52,197.59,0.33,0.02
NbTaWVZr,4.8,0.07674167,0.083598936,-3.968,7.796513118,3.05,162.25,255.13,115.81,69.66,61.61,162.25,64.83,171.64,0.32,162.25,64.6,171.09,0.32,162.25,64.72,171.36,0.32,0
MoNbTaTiW,5,0.056592797,0.036894676,-3.792,8.711678261,3.013,192.13,314.5,130.95,91.78,72.6,192.13,80.27,211.38,0.32,192.13,79.22,208.95,0.32,192.13,79.75,210.16,0.32,0.01
MoNbTiVZr,5.2,0.053594331,0.172699094,-4.992,6.834642263,3.026,138.07,215.53,99.34,58.09,47.6,138.07,51.8,138.13,0.33,138.07,51.31,136.96,0.33,138.07,51.56,137.55,0.33,0
MoNbTaTiZr,5,0.077515721,0.1694974,-4.752,6.592442206,3.081,145.02,222.09,106.49,57.8,57.74,145.02,57.77,152.99,0.32,145.02,57.77,152.99,0.32,145.02,57.77,152.99,0.32,0
