Alloys,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
TiVCrZr,4.75,0.095025124,0.083788882,-6.775,3.586136233,2.945,123.53,188.3,91.15,48.58,46.49,123.53,47.33,125.9,0.33,123.53,47.3,125.85,0.33,123.53,47.32,125.88,0.33,0
TiVCrNb,5,0.059935717,0.027602238,-4.35,5.997313048,2.893,156.38,250.46,109.34,70.56,43.4,156.38,54.27,145.92,0.34,156.38,51.3,138.73,0.35,156.38,52.78,142.33,0.35,0.03
TiVCrMo,5.25,0.053742871,0.138607341,-3.6,7.363610565,2.849,184.59,313.05,120.36,96.34,52.99,184.59,70.33,187.22,0.33,184.59,64.62,173.61,0.34,184.59,67.48,180.44,0.34,0.04
TiVCrHf,4.75,0.085497207,0.092209349,-5.625,4.512932805,2.946,145.72,209.5,113.83,47.83,56.92,145.72,53.29,142.49,0.34,145.72,52.9,141.57,0.34,145.72,53.09,142.03,0.34,0
TiVCrTa,5,0.059935717,0.041043858,-4.375,6.318691357,2.906,162.81,253.55,117.44,68.05,59.26,162.81,62.78,166.89,0.33,162.81,62.49,166.21,0.33,162.81,62.63,166.55,0.33,0
TiVCrW,5.25,0.054122271,0.182335465,-4.175,6.900897457,2.866,193.5,318.24,131.13,93.56,66.52,193.5,77.34,204.74,0.32,193.5,75.22,199.77,0.33,193.5,76.28,202.26,0.33,0.01
TiVZrNb,4.5,0.068792887,0.076822128,-0.175,148.219876,3.061,116.35,165.02,92.02,36.5,50.29,116.35,44.77,119.05,0.33,116.35,43.69,116.48,0.33,116.35,44.23,117.76,0.33,0.01
TiVZrMo,4.75,0.075084205,0.183674819,-3.85,6.846536251,3.009,133.72,206.09,97.53,54.28,49.77,133.72,51.57,137.1,0.33,133.72,51.48,136.88,0.33,133.72,51.53,136.99,0.33,0
TiVZrHf,4.25,0.073331585,0.095933984,-1.95,12.94123772,3.112,114.31,143.43,99.75,21.84,65.35,114.31,47.94,126.19,0.32,114.31,36.37,98.65,0.36,114.31,42.16,112.63,0.34,0.14
TiVZrTa,4.5,0.068792887,0.072571804,-0.625,43.99110595,3.069,122.61,167.78,100.03,33.88,62.4,122.61,50.99,134.35,0.32,122.61,46.68,124.27,0.33,122.61,48.84,129.34,0.32,0.04
TiVZrW,4.75,0.073831429,0.22622479,-5.3,5.407813852,3.02,142.8,213.73,107.33,53.2,61.9,142.8,58.42,154.24,0.32,142.8,58.1,153.49,0.32,142.8,58.26,153.87,0.32,0
TiVNbMo,5,0.037726937,0.14368556,-2.5,11.26056134,2.958,164.78,266.73,113.8,76.46,49.96,164.78,60.56,161.86,0.34,164.78,58,155.73,0.34,164.78,59.28,158.8,0.34,0.02
