Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR,Compostion
TiVCrZrNb,4.85,0.106605581,0.111815697,-4.371863532,6.885610022,2.969,135.03,211.03,97.04,57,43.8,135.03,49.08,131.33,0.34,135.03,48.27,129.4,0.34,135.03,48.68,130.37,0.34,0.01,2020201525
TiVCrZrNb,4.75,0.126738905,0.12677835,-5.099825047,5.740822553,2.991,123.33,188.35,90.83,48.76,45.19,123.33,46.62,124.21,0.33,123.33,46.56,124.06,0.33,123.33,46.59,124.13,0.33,0,2020202515
TiVCrZrNb,4.75,0.115840407,0.114100833,-3.493460338,8.607062133,3.002,127.26,194.3,93.75,50.27,45.09,127.26,47.16,125.93,0.34,127.26,47.03,125.61,0.34,127.26,47.1,125.77,0.34,0,2020152025
TiVCrZrNb,4.7,0.124518071,0.120742495,-3.811157096,7.781246242,3.014,121.92,183.55,91.1,46.22,45.87,121.92,46.01,122.61,0.33,121.92,46.01,122.61,0.33,121.92,46.01,122.61,0.33,0,2020152520
TiVCrZrNb,4.85,0.119812353,0.124655525,-5.787564582,5.064601421,2.956,131.16,205.44,94.02,55.71,43.91,131.16,48.63,129.84,0.34,131.16,47.97,128.28,0.34,131.16,48.3,129.06,0.34,0.01,2020252015
TiVCrZrNb,4.9,0.10836397,0.116313155,-5.372421513,5.532809756,2.945,137.29,217.25,97.31,59.97,43.32,137.29,49.98,133.72,0.34,137.29,48.73,130.73,0.34,137.29,49.36,132.23,0.34,0.01,2020251520
TiVCrZrNb,4.8,0.117067288,0.118087891,-4.415948161,6.808603208,2.995,128.68,199.02,93.51,52.76,44.33,128.68,47.7,127.37,0.34,128.68,47.36,126.55,0.34,128.68,47.53,126.96,0.34,0,2015202025
TiVCrZrNb,4.75,0.125821302,0.124755761,-4.752433434,6.239658245,3.007,123.2,188.12,90.74,48.69,45.03,123.2,46.49,123.89,0.33,123.2,46.42,123.73,0.33,123.2,46.46,123.81,0.33,0,2015202520
TiVCrZrNb,4.85,0.11904936,0.123380509,-5.567281592,5.332598528,2.972,130.62,204.54,93.65,55.44,43.84,130.62,48.48,129.43,0.33,130.62,47.85,127.92,0.34,130.62,48.16,128.67,0.34,0.01,2015252020
TiVCrZrNb,4.8,0.118670763,0.121304369,-4.97049578,5.897540302,2.964,129.68,200.42,94.31,53.05,44.64,129.68,48,128.19,0.34,129.68,47.66,127.37,0.34,129.68,47.83,127.78,0.34,0,2025202015
TiVCrZrNb,4.85,0.107289328,0.112977874,-4.576781442,6.495083479,2.953,135.67,211.96,97.52,57.22,43.9,135.67,49.23,131.75,0.34,135.67,48.41,129.79,0.34,135.67,48.82,130.77,0.34,0.01,2025201520
TiVCrZrNb,4.75,0.116682261,0.116072176,-3.825486871,7.761642209,2.987,127.61,194.65,94.09,50.28,45.24,127.61,47.25,126.19,0.34,127.61,47.13,125.89,0.34,127.61,47.19,126.04,0.34,0,2025152020
TiVCrZrNb,4.85,0.118300465,0.119578426,-4.509761653,6.702588451,2.984,131.49,206.08,94.2,55.94,42.63,131.49,47.95,128.27,0.34,131.49,47.11,126.26,0.34,131.49,47.53,127.26,0.34,0.01,1520202025
TiVCrZrNb,4.8,0.127447048,0.1266047,-4.850055206,6.147187352,2.996,125.85,195.01,91.27,51.87,43.39,125.85,46.78,124.88,0.33,125.85,46.43,124.03,0.34,125.85,46.61,124.46,0.34,0,1520202520
TiVCrZrNb,4.9,0.120149906,0.124338248,-5.575608233,5.353445567,2.962,133.71,212.06,94.54,58.76,42.15,133.71,48.79,130.5,0.34,133.71,47.52,127.46,0.34,133.71,48.16,128.99,0.34,0.01,1520252020
TiVCrZrNb,4.85,0.11904936,0.121007231,-4.754352923,6.278605531,2.969,132.13,206.97,94.71,56.13,42.76,132.13,48.1,128.7,0.34,132.13,47.26,126.68,0.34,132.13,47.68,127.69,0.34,0.01,1525202020
